NAME_ENGL,ISO3_CODE,pillar_num,pillar_txt,type,title,publisher,url,version
Central African Republic,CAF,4,Trust and resilience,Analysis,Shutdowns,Access Now,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,3
Central African Republic,CAF,2,Rights and freedoms,Analysis,Network disruptions & censorship,NetBlocks,https://netblocks.org/reports,3
Chad,TCD,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/TD,3
Chad,TCD,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/TD,3
Chad,TCD,1,Connectivity and infrastructure,Analysis,Mobile connectivity enablers,GSMA,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,3
Chad,TCD,1,Connectivity and infrastructure,Analysis,Mobile internet trends,GSMA,https://www.gsma.com/r/somic/,3
Chad,TCD,1,Connectivity and infrastructure,Analysis,Global indicators & benchmarks,ITU,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,3
Chad,TCD,3,Responsibility and sustainability,Analysis,Digital economy & governance,World Bank,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,3
Chad,TCD,4,Trust and resilience,Analysis,Shutdowns,Access Now,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,3
Chad,TCD,2,Rights and freedoms,Analysis,Network disruptions & censorship,NetBlocks,https://netblocks.org/reports,3
Chile,CHL,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/CL,2
Chile,CHL,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/CL,2
Chile,CHL,2,Rights and freedoms,Analysis,Digital rights,Freedom House,https://freedomhouse.org/country/chile/freedom-net/2024,2
Chile,CHL,1,Connectivity and infrastructure,Analysis,Mobile connectivity enablers,GSMA,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,2
Chile,CHL,1,Connectivity and infrastructure,Analysis,Mobile internet trends,GSMA,https://www.gsma.com/r/somic/,2
Chile,CHL,1,Connectivity and infrastructure,Analysis,Global indicators & benchmarks,ITU,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,2
Chile,CHL,3,Responsibility and sustainability,Analysis,Digital economy & governance,World Bank,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,2
Chile,CHL,4,Trust and resilience,Analysis,Shutdowns,Access Now,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,2
Chile,CHL,2,Rights and freedoms,Analysis,Network disruptions & censorship,NetBlocks,https://netblocks.org/reports,2
Chile,CHL,3,Responsibility and sustainability,Analysis,Trends & governance,Internet Society,https://www.internetsociety.org/globalinternetreport/,2
